7XKXV5MM,1,Q1428357
G03HKH95,0,Q2811
G03HKH95,1,Q1428357
R6NW6TYG,0,Q7944
ZPWICPV6,0,Q7944
ZNEYPA8R,0,Q7944
MNBLZPUL,0,Q7944
TS8L9YVC,0,Q7889
TS8L9YVC,1,Q7889
TS8L9YVC,2,Q24561417
TS8L9YVC,3,Q23683568
QY0L477G,0,Q7889
QY0L477G,1,Q386724
QY0L477G,2,Q24561417
QY0L477G,3,Q23683568
3E529D24,0,Q7889
3E529D24,1,Q7889
3E529D24,2,Q24561417
3E529D24,3,Q23683568
5X442YQY,0,Q7889
5X442YQY,1,Q659563
4EZO9IPU,0,Q7889
4EZO9IPU,1,Q659563
T7870KEU,0,Q7889
T7870KEU,1,Q659563
FZAND7D9,0,Q7889
FZAND7D9,1,Q1971694
FZAND7D9,2,Q5
FZAND7D9,5,Q23686802
OVLM0F1N,0,Q7889
0IUVF3CX,0,Q7889
BJ7XA8WY,0,Q7889
BJ7XA8WY,2,Q31629
KFC2UE6X,0,Q7889
KFC2UE6X,2,Q31629
NDDX3GEM,0,Q7889
NDDX3GEM,2,Q559618
PS0MWADN,0,Q7889
PEHDKLFL,0,Q7889
F2I5A3EL,0,Q7889
4LCPUJDR,0,Q7876
4LCPUJDR,1,Q27020041
4LCPUJDR,2,Q102074988
4LCPUJDR,3,Q5
4LCPUJDR,4,Q102074988
YN2MJIU3,0,Q87267404
YN2MJIU3,1,Q5
YN2MJIU3,3,Q31629
UMP36QRC,0,Q7870
UMP36QRC,3,Q5
DCCVUU6K,0,Q7870
DCCVUU6K,1,Q5
DCCVUU6K,2,Q5
SSHI28W1,0,Q7870
SSHI28W1,1,Q5
SSHI28W1,2,Q5
1QC4JFSJ,0,Q7870
1QC4JFSJ,1,Q27020041
DBAE1OLN,0,Q7854
DBAE1OLN,1,Q31629
DBAE1OLN,2,Q5
DBAE1OLN,4,Q27020041
XR9QAFAA,0,Q7755
GAJ6XB35,0,Q7688
NTVDAA8F,0,Q7688
UM9DOVMN,0,Q7397
W8SR25E8,0,Q7366
W8SR25E8,2,Q534932
MDMQFT95,0,Q7366
MDMQFT95,2,Q534932
MH7USKX2,0,Q2188189
MH7USKX2,2,Q534932
FGKLEVQ2,0,Q11862829
FGKLEVQ2,2,Q534932
SHHWBNIU,0,Q7366
SHHWBNIU,2,Q534932
1OB417Y8,0,Q7366
1OB417Y8,2,Q534932
GK1J8AIJ,0,Q207628
GK1J8AIJ,2,Q534932
D36JM2GZ,0,Q7366
YVPBH04N,0,Q7366
ECHZJPLL,0,Q7366
78CFBJFT,0,Q11028
PPZA8EER,0,Q7725634
PPZA8EER,2,Q5
TSH4CW28,0,Q7366
SS1GR01L,0,Q7366
7KGSZDEN,0,Q7366
7KGSZDEN,2,Q5
RUTJAG5A,0,Q7366
RUTJAG5A,1,Q5
WDSSIZH6,0,Q7366
WDSSIZH6,1,Q5
ECCUSC1R,0,Q7278
ECCUSC1R,1,Q5
ECCUSC1R,3,Q5
UORSGDQ8,0,Q7278
UORSGDQ8,1,Q5
UORSGDQ8,2,Q3624078
UORSGDQ8,3,Q5
2CNLXVBK,0,Q7278
2CNLXVBK,1,Q5
2CNLXVBK,3,Q5
IVA1S7SR,0,Q7278
IVA1S7SR,1,Q5
IVA1S7SR,3,Q5
7GEX5IB9,0,Q7210356
7GEX5IB9,1,Q5
7GEX5IB9,3,Q5
YTSDLMYV,0,Q7278
YTSDLMYV,1,Q5
YTSDLMYV,3,Q5
N1LQCK6K,0,Q7210356
YP0J56OU,0,Q7278
AIGRYHCI,0,Q7210356
BTMH61AC,0,Q7278
DXOF8XEN,0,Q7278
P1ZM7XTT,0,Q7278
NPXLFYXQ,0,Q7188
K7Q35H2Y,0,Q7188
K7Q35H2Y,2,Q5
YLSE3F5H,0,Q7187
YLSE3F5H,1,Q35120
AQRRDDX4,0,Q7187
AQRRDDX4,1,Q37748
8GXR654P,0,Q7187
8GXR654P,1,Q37748
L2NFO494,0,Q7187
L2NFO494,1,Q37748
XI5424YZ,0,Q7187
XI5424YZ,1,Q37748
M8ZR2FPN,0,Q7187
M8ZR2FPN,1,Q7187
M8ZR2FPN,2,Q12136
4B1GJLSN,0,Q7187
4B1GJLSN,1,Q7187
4B1GJLSN,2,Q12136
E02EDD05,0,Q7187
E02EDD05,1,Q7187
E02EDD05,2,Q42303753
N6HGUVIJ,0,Q7187
N6HGUVIJ,1,Q7187
N6HGUVIJ,2,Q12136
3MQ7IT3G,0,Q7187
3MQ7IT3G,2,Q2996394
WKDRXIGC,0,Q7187
WKDRXIGC,1,Q5058355
X5Z6SW7M,0,Q7075
X5Z6SW7M,2,Q3624078
JT4P4GDK,0,Q386724
OOTSF40W,0,Q6999
LZJ4U3FX,0,Q6999
UH5XFDA7,0,Q6999
VEY9KV5B,0,Q6999
Y0ELXLFP,0,Q17334923
Y0ELXLFP,1,Q8928
XRK6MM1W,0,Q6999
XRK6MM1W,1,Q8928
CHYUQ0W4,0,Q6999
CHYUQ0W4,1,Q8928
BRSY9PSV,0,Q6999
BRSY9PSV,2,Q5
RY6RW34T,0,Q6999
RY6RW34T,2,Q5
9PDCAL9K,0,Q6592
0RNOIDAX,0,Q6592
B5LCX4XZ,0,Q6592
JNHX92H9,0,Q6592
QPFZ3ORB,0,Q6592
MJXTA6I0,0,Q6592
XF7SZUM8,0,Q6592
0CM4MMFH,0,Q6592
9W55BUX5,0,Q3132741
IS4X8J05,0,Q6465
IS4X8J05,1,Q7270
IS4X8J05,2,Q46865913
IS4X8J05,3,Q17272482
E6LTIM2G,0,Q6465
E6LTIM2G,3,Q484170
E6LTIM2G,4,Q36784
38XIZEUB,0,Q6465
38XIZEUB,2,Q11446
38XIZEUB,3,Q484170
38XIZEUB,4,Q36784
L68IKGOL,0,Q6458
YIPS865P,0,Q726242
JCSQIHG2,0,Q6458
06593OQD,0,Q6458
06593OQD,1,Q8928
69N6YS5G,0,Q6458
69N6YS5G,1,Q8928
ZOH6LKZ2,0,Q6243
ZOH6LKZ2,1,Q8928
0PPMGSJT,0,Q6243
0PPMGSJT,1,Q8928
O6Y3V0N1,0,Q6458
NG97S57V,0,Q6243
ARN3HO53,0,Q6368
Y2SAE545,0,Q6368
VA172XO0,0,Q6368
922R3Z7C,0,Q56061
922R3Z7C,3,Q23691
X3XIKUOM,0,Q6256
X3XIKUOM,3,Q11028
JKVINDHB,0,Q6251
JKVINDHB,2,Q8928
LQTJ9BC6,0,Q6999
LQTJ9BC6,2,Q8928
ISKS9892,0,Q6251
ISKS9892,2,Q8928
I8UTT8AG,0,Q6999
2IETAXXS,0,Q6251
HPXPTF8D,0,Q6251
B7G3KW7U,0,Q523
5NGNP9KS,0,Q6243
J8SUPBQ6,0,Q6243
J8SUPBQ6,1,Q8928
4CBQ0AXJ,0,Q6243
4CBQ0AXJ,1,Q8928
CTDYTHEH,0,Q6243
CTDYTHEH,1,Q8928
6FMQFTMQ,0,Q6999
6FMQFTMQ,1,Q8928
WHOGNIJV,0,Q6243
WHOGNIJV,1,Q8928
YGFVVSOG,0,Q6243
WY8GBFX2,0,Q6243
IGEJRKC1,0,Q6243
HL2RVKKI,0,Q523
HL2RVKKI,3,Q17444909
GT0NSYUF,0,Q6243
GT0NSYUF,2,Q8928
P5E5TVO1,0,Q6232
P5E5TVO1,2,Q8928
I5F2Y9KC,0,Q6232
I5F2Y9KC,2,Q8928
6FQY29F9,0,Q6232
6FQY29F9,2,Q8928
TYL17MB8,0,Q6232
TYL17MB8,2,Q8928
HE98BKL4,0,Q6232
IP9F9VS3,0,Q6232
9JY2T4AO,0,Q6232
QGYKLP8O,0,Q6232
8WLIDMH5,0,Q5961
Q1W4UWU3,0,Q5916
ZKICOG5G,0,Q5916
VDABZSDR,0,Q5916
UEEUASVQ,0,Q5898
RLEVO7LX,0,Q5898
5EG5D8DX,0,Q5898
8H1LOW9X,0,Q523
ME7XMVS0,0,Q523
ME7XMVS0,1,Q3272595
X6WTTXIW,0,Q523
UC7X2ITL,0,Q193599
8VVRMCPU,0,Q523
8VVRMCPU,1,Q8928
RFWKQTX8,0,Q5893
RFWKQTX8,2,Q8928
ZEMW6XHV,0,Q5893
V6I695O3,0,Q5893
N7M8S8A8,0,Q5871
M3K8IH00,0,Q5871
M3K8IH00,1,Q8928
YOHRKXKX,0,Q5864
NHN5LEWV,0,Q5864
237SH6UK,0,Q5864
RVY207PL,0,Q5848
6I1J1VRU,0,Q5848
CDPJ8FHC,0,Q5848
IZ0D04FJ,0,Q5848
LPYSRI1H,0,Q5848
QUZFKHO2,0,Q5848
F9FNX7XB,0,Q5848
HG5UML5X,0,Q5848
U6UK434L,0,Q5848
KLHOGGYZ,0,Q58778
VIH64UNK,0,Q811979
UBCZC7PL,0,Q811979
4CIJ1HQR,0,Q5503
4CIJ1HQR,1,Q214519
0D9S6XIF,0,Q5503
0D9S6XIF,1,Q214519
JP5HQVC6,0,Q5503
JP5HQVC6,1,Q214519
E33CC6U8,0,Q5503
E33CC6U8,2,Q3624078
REYGPW20,0,Q5503
REYGPW20,2,Q3624078
WV11JI12,0,Q5292
DXPJK2BF,0,Q5292
DXPJK2BF,1,Q223393
ZYAYSOLB,0,Q5292
S4M55Y7V,0,Q5292
OOP2DFXF,0,Q5292
BOQR0XYE,0,Q5292
9N77STDK,0,Q11276
9N77STDK,1,Q5
9N77STDK,3,Q8928
ZUMABCTW,0,Q11276
ZUMABCTW,1,Q5
ZUMABCTW,3,Q8928
E3H34O66,0,Q11276
MH9FAY4R,0,Q11276
MH9FAY4R,2,Q2490
18T4PJWW,0,Q11276
DT3T3163,0,Q11276
HPGQV1LU,0,Q11276
H1DO377F,0,Q11276
HOCC1XMM,0,Q11276
L1ITOD4W,0,Q11276
WMOUCZTV,0,Q11276
ST45IHF4,0,Q11282
ST45IHF4,3,Q8928
4WSBIY98,0,Q11282
3UAWOQZ6,0,Q2221906
UMZFA9HO,0,Q11303
QXLSKAGT,0,Q11303
58JHAHYN,0,Q11303
A5QLN43N,0,Q11303
7CVM76DS,0,Q11303
STS4LJMH,0,Q11303
RRN5ACLK,0,Q11303
T92OXCSG,0,Q11303
EMSKN7E7,0,Q11303
XPTQUZ8E,0,Q11315
JN6WH2UH,0,Q11315
6LT2TVVT,0,Q11315
IUFPUTOR,0,Q11315
WQ6XCI5Q,0,Q11315
WQ6XCI5Q,2,Q3624078
1EUH2KGU,0,Q11315
UPG7AQZM,0,Q11315
UPG7AQZM,2,Q3624078
KQDYNXFE,0,Q11344
CLBZS7EB,0,Q11344
XPLL5344,0,Q11344
IIMOFO8X,0,Q11344
U8DP4DCF,0,Q11344
OCVUSZ02,0,Q35120
ZY5JZU9J,0,Q28728771
0E0MQ6P9,0,Q11371
7HJAX02L,0,Q2169973
M9FLO6BS,0,Q11387
NCS3H9Z6,0,Q11387
BFHIIOG9,0,Q11387
L2BUVY4T,0,Q11387
Y1JKEXCH,0,Q11387
QD1ILR6G,0,Q11387
8VU3I9DH,0,Q11387
VIP544PL,0,Q11387
S65WP8YX,0,Q11387
WXJE1C0O,0,Q11387
GDCLZC3C,0,Q11387
2LBM7H9J,0,Q11387
OZP89ZKE,0,Q11387
OZP89ZKE,2,Q5
2DEB76H6,0,Q11387
2DEB76H6,2,Q5
A17EEPZE,0,Q11410
8MA3QVRG,0,Q11422
8MA3QVRG,2,Q2668072
5PI2H7IU,0,Q11422
L853363N,0,Q11422
L853363N,2,Q2668072
RINHVVXL,0,Q11422
RINHVVXL,2,Q2668072
8BWUZEFQ,0,Q11422
8BWUZEFQ,2,Q2668072
6THLSL7U,0,Q11422
6THLSL7U,2,Q2668072
DGKH3BYM,0,Q11424
DGKH3BYM,1,Q23683425
DGKH3BYM,2,Q23660208
DGKH3BYM,3,Q56887397
DGKH3BYM,4,Q5
3RYNAJNQ,0,Q11424
3RYNAJNQ,1,Q23683425
3RYNAJNQ,2,Q23660208
3RYNAJNQ,3,Q56887397
3RYNAJNQ,4,Q5
5Y9N883Z,0,Q11424
5Y9N883Z,1,Q23683425
5Y9N883Z,2,Q23660208
5Y9N883Z,3,Q56887397
5Y9N883Z,4,Q5
4QTU5MYM,0,Q11424
WVTJY756,0,Q11424
XGTVZ490,0,Q11424
77JI37VZ,0,Q11424
77JI37VZ,2,Q201658
NC4YMC54,0,Q11424
NC4YMC54,2,Q201658
8XFFOIHR,0,Q11424
8XFFOIHR,2,Q201658
0JSE9VIO,0,Q11424
0JSE9VIO,2,Q201658
2CQIQP2R,0,Q11424
2CQIQP2R,2,Q23649977
UI4RD3PW,0,Q11424
UI4RD3PW,2,Q23649977
8LA34V9T,0,Q11424
8LA34V9T,2,Q23649977
0JNW6FIF,0,Q11424
0JNW6FIF,2,Q23649977
Q8CAB30W,0,Q11424
Q8CAB30W,2,Q23649977
8F1W4WAH,0,Q11424
8F1W4WAH,2,Q23649977
4WLZGBZR,0,Q11424
4WLZGBZR,2,Q23649977
9TENF0NQ,0,Q11424
9TENF0NQ,2,Q23649977
MIAU161U,0,Q11424
MIAU161U,2,Q23649977
F21DIJAX,0,Q11424
F21DIJAX,2,Q23649977
S56W19PL,0,Q11424
S56W19PL,1,Q5
S56W19PL,2,Q23830575
DCEVJBWL,0,Q11424
DCEVJBWL,1,Q5
DCEVJBWL,2,Q23830575
D29SJNSB,0,Q11424
D29SJNSB,1,Q5
D29SJNSB,2,Q23830575
2WR0R7M2,0,Q11424
2WR0R7M2,1,Q5
2WR0R7M2,2,Q23830575
0BZ4SHSS,0,Q11424
0BZ4SHSS,1,Q5
0BZ4SHSS,2,Q23830575
IEK3A0XI,0,Q11424
IEK3A0XI,1,Q5
IEK3A0XI,2,Q23830575
4OCJI82N,0,Q11424
4OCJI82N,1,Q5
4OCJI82N,2,Q23830575
0LZ0M8W4,0,Q11424
VYK6GYMU,0,Q11424
RVW0L8AQ,0,Q11424
FYI9JRRS,0,Q11424
WUCSPEM2,0,Q11424
IR9Y1AQR,0,Q11424
A8PF8CBH,0,Q11424
V11NDSC9,0,Q11424
9B6RKQAF,0,Q11424
9B6RKQAF,1,Q27915572
DZ15YD8F,0,Q386724
DZ15YD8F,1,Q27915572
EGKM3Q1Z,0,Q11424
EGKM3Q1Z,1,Q5
EGKM3Q1Z,3,Q28980086
4M41MP05,0,Q11424
4M41MP05,1,Q5
4M41MP05,3,Q28980086
6OV5FL2Q,0,Q11424
6OV5FL2Q,3,Q28732980
9TQP4FO3,0,Q17537576
9TQP4FO3,3,Q28732980
1BAC0XW3,0,Q11424
1BAC0XW3,3,Q28732980
160EDZDP,0,Q11424
160EDZDP,3,Q28732980
0CWG2YAW,0,Q11436
D6ZV3GZ1,0,Q2424752
D6ZV3GZ1,2,Q3624078
FU6YPC58,0,Q16686448
FU6YPC58,2,Q3624078
YYXY568V,0,Q35120
CFR6JTWO,0,Q2424752
SQ5YAKBI,0,Q2424752
A9WOVBDM,0,Q2424752
A9WOVBDM,2,Q5
R3P1KYGX,0,Q11446
R3P1KYGX,1,Q559026
FXGQ3HT6,0,Q11446
KQ8YZ8F7,0,Q11446
K12ZXR9L,0,Q11446
K064P8FX,0,Q11469
K064P8FX,1,Q207694
M71LVS1D,0,Q43229
QEGEJMLO,0,Q11635
7AVYBDI1,0,Q58778
7AVYBDI1,2,Q3624078
JCG3Q2SE,0,Q16686448
QY0WDJ5X,0,Q13136
QY0WDJ5X,2,Q3331189
YTH2KD29,0,Q13136
FP7ZAJCF,0,Q13136
YDYGLXNN,0,Q13136
O8VK6GN4,0,Q13136
FCWD0TDY,0,Q2990593
FCWD0TDY,1,Q5
OU9JHYMW,0,Q13632
OU9JHYMW,2,Q8928
JRI2M7FP,0,Q13632
JRI2M7FP,2,Q8928
PYE42SW1,0,Q13632
PYE42SW1,2,Q8928
MNMHC01Q,0,Q13632
MNMHC01Q,2,Q5
0KW2QF49,0,Q13632
0KW2QF49,2,Q5
INJRESQG,0,Q13632
INJRESQG,2,Q5
4E8CWVJX,0,Q13691
FU4EGK24,0,Q58778
7P8I80IQ,0,Q13741
7TP22IC2,0,Q13890
24DSVTNX,0,Q13890
833IXYOX,0,Q13890
833IXYOX,2,Q2247863
3QPSR6ZZ,0,Q13890
DS1BCNOW,0,Q13890
1IUBBAMH,0,Q13890
1IUBBAMH,2,Q8928
IK6RB89A,0,Q13890
IK6RB89A,2,Q8928
75OTHFL0,0,Q13890
75OTHFL0,2,Q8928
B7F1EROX,0,Q13890
B7F1EROX,2,Q8928
HYDXA534,0,Q13890
HYDXA534,2,Q8928
9FD2K59H,0,Q13890
9FD2K59H,2,Q8928
27V1TQHW,0,Q13890
27V1TQHW,2,Q8928
ACE7B3S6,0,Q13890
ACE7B3S6,2,Q8928
WUALDK69,0,Q14092
WUALDK69,2,Q3624078
JKY00UUC,0,Q14092
JKY00UUC,2,Q3624078
1QHFQOLP,0,Q14092
0ATZFD0F,0,Q14350
FVZUICE5,0,Q14659
G4W65N18,0,Q14659
CAS67U78,0,Q14659
